Municipality,DEWA ,KHDA,Police,DESC,Dubai Land,MBRHE (Housing),GDRFAD (Residency),DCD,CDA,RTA,DHA
,About VAT,,,,Amendment of details of a person / entity application,,,,,Apply for a Delivery Driver Qualification Certificate,Application to join Dental Internship Prog...
,Security E-Pass Manual,,,,Amendment of real estate details application,,,,,Apply for Booking a Driving Test,Submit Medical Complaint
,DEWA Academy,,,,Grant Completion Application,,,,,Apply for Changing a Driving Test Appointment,Issue Sick Leave Certificate
,Register for Scholarship,,,,Detailed real estate statement application,,,,,Apply for Appealing a Road Test Results,Request Good Standing Certificate
,Apply for Scholarship,,,,Ownership of granted industrial  and commercial land plots application,,,,,Apply for Changing a Light Vehicle Driving Licence from Automatic to Manual,Get Registered (New Professional License)
,,,,,Real estate evaluation details certificate registration application,,,,,Apply for a New Driving Licence,Raise License Cancelation Issues
,,,,,Buy Property,,,,,Apply for Renewing a Driving Licence,Update Professional License Card Informati...
,,,,,Registration/amendment of real estate project details application,,,,,Apply for Replacing a Lost/Damaged Driving Licence,Add/Upgrade professional registration
,,,,,,,,,,Apply for Amending a Driving Licence Data,Speech and language  Therapy clinic
,,,,,,,,,,Apply for Adding a New Category Based on Exchanging Licences,Update CPD Points
,,,,,,,,,,Apply for an International Driving Licence,Schedule Oral Assessment
,,,,,,,,,,Apply for Renewing a Learning Permit,Self assessment & Manual Review (Review El...
,,,,,,,,,,Apply for a New Driving Licence Based on Exchanging Licences,Renew Professional Registration
,,,,,,,,,,Apply for Transferring Driving Profile to or from Dubai,Payment of Fines
,,,,,,,,,,Apply for a Driver Experience Certificate,Appeal Violations for professionals
,,,,,,,,,,Apply for a New Permit to Work as a School Bus Driver,Apply for patient escort leave
,,,,,,,,,,Apply for Renewing a Permit to Work as a School Bus Driver,Issuance a medical record number (MRN)
,,,,,,,,,,Apply for Replacing a Lost/Damaged Permit to Work as a School Bus Driver,Occupational Therapy Clinic
,,,,,,,,,,Apply for a New Permit to Work as a Luxury Vehicle Driver,Request for new/duplicate Medical Report
,,,,,,,,,,Apply for Renewing a Permit to Work as a Luxury Vehicle Driver,Request to register on the volunteering pl...
,,,,,,,,,,Apply for Replacing a Lost/Damaged Permit to Work as a Luxury Vehicle Driver,Social Service - Thalassemia center
,,,,,,,,,,Apply for a Permit to Work as a Taxi Driver,Book & Manage Appointments
,,,,,,,,,,Apply for Renewing a Permit to Work as a Taxi Driver,Request for Summer Training Program
,,,,,,,,,,Apply for Replacing a Lost/Damaged Permit to Work as a Taxi Driver,"Issue a New, copy or replacement Death Cer..."
,,,,,,,,,,Apply for a Permit to Work as a Female Supervisor for School Transport,"Issue a New, copy or replacement Birth Cer..."
,,,,,,,,,,Apply for Renewing a Permit to Work as a Female Supervisor for School Transport,Request Overseas treatment
,,,,,,,,,,Apply for Replacing a Lost/Damaged Permit to Work as a Female Supervisor for School Transport,Issuing Letters to whom its concern
,,,,,,,,,,Apply to Register as a Driver Licensing Service Provider,Nursing care and treatment room
,,,,,,,,,,Apply for an NOC for a New Trade Licence,Pharmacy Service
,,,,,,,,,,Apply for an NOC to Renew a Trade Licence,Psychology Clinic
,,,,,,,,,,Apply for an NOC to Replace a Lost/Damaged Trade Licence,Physiotherapy Clinics
,,,,,,,,,,Apply for an NOC to Cancel a Trade Licence,Physical Medicine and Rehabilitation (PMR)
,,,,,,,,,,Apply for an NOC to Add or Remove a Shareholder or a Manager on a Trade licence,PCR-Covid test Service card
,,,,,,,,,,Apply for an NOC to Amend a Trade Licence Name,Covid-19 Confirmed Positive Case Managemen...
,,,,,,,,,,Apply for an NOC to Add or Remove an Activity on a Trade licence,COVID-19 Home Vaccination
,,,,,,,,,,Apply for an NOC to Suspend a Trade Licence,COVID-19 Vaccination Service
,,,,,,,,,,Apply for an NOC to Resume a Trade Licence,COVID 19 Patient Family Communication
,,,,,,,,,,Apply for an NOC to Change a Trade Licence Site,Adult Nephrology services
,,,,,,,,,,Apply for Receiving an Electronic Training System Form,Mental Health service
,,,,,,,,,,Apply for an NOC to Issue a New Trade Licence for the Activity of Transporting Passengers in Luxury Vehicles,Urology services
,,,,,,,,,,Apply for an NOC to Renew a Trade Licence for the Activity of Transporting Passengers in Luxury Vehicles,Social Services
,,,,,,,,,,Apply for an NOC to Cancel a Trade Licence for the Activity of Transporting Passengers in Luxury Vehicles,Psychology
,,,,,,,,,,Apply for an NOC to Add/Remove a Partner on a Trade Licence for the Activity of Transporting Passengers in Luxury Vehicles,Home Health Care
,,,,,,,,,,Apply for an NOC to Change the Name of a Trade Licence for the Activity of Transporting Passengers in Luxury Vehicles,Diabetes Service
,,,,,,,,,,Apply for an NOC to Issue a New Trade Licence for the Activity of Transporting Passengers in Taxis,Issuing child Health vaccination certifica...
,,,,,,,,,,Apply for an NOC to Renew a Trade Licence for the Activity of Transporting Passengers in Taxis,Duplicate vaccine Booklet child health ser...
,,,,,,,,,,Apply for an NOC to Cancel a Trade Licence for the Activity of Transporting Passengers in Taxis,Covid-19 Assessment service
,,,,,,,,,,Apply for an NOC to Add/Remove a Partner on a Trade Licence for the Activity of Transporting Passengers in Taxis,Medical Packages
,,,,,,,,,,Apply for an NOC to Change the Name of a Trade Licence for the Activity of Transporting Passengers in Taxis,Supplying blood and components to hospital...
,,,,,,,,,,Apply for an NOC to Hire a Luxury Vehicle Driver,DXH group membership and treatment package...
,,,,,,,,,,Apply For a Permit to Transport Passengers in Luxury Vehicles,Inter-Library Loan: Providing Articles to ...
,,,,,,,,,,Apply for Adopting a Vehicle Type to Operate in the Field of Transporting Passengers in Luxury Vehicles,Medical Education Announcement
,,,,,,,,,,Apply For a Permit to Transport Passengers in Taxis,Accreditation of Continuing Medical Traini...
,,,,,,,,,,Apply for Adopting a Vehicle Type to Operate in the Field of Transporting Passengers in Taxis,Request Venue Reservation and Rental
,,,,,,,,,,Apply for a Temporary Permit to Transport Passengers from Dubai to Other Emirates or the Opposite (Naqel Service),Purchase Sick Leave Certificates
,,,,,,,,,,Apply for a Permit to Register a Luxury Vehicle to a Franchise Contract to Transport Passengers in Luxury Vehicles,Payment of Fines
,,,,,,,,,,Apply for a Permit to Replace a Luxury Vehicle to Transport Passengers in Luxury Vehicles,Purchase Products (Controlled and Semi-con...
,,,,,,,,,,Apply for a Permit to Add a Luxury Vehicle to a Franchise Contract to Transport Passengers in Luxury Vehicles,Change Medical Director
,,,,,,,,,,Apply for a Permit to Register a Used Vehicle to Transport Passengers in Luxury Vehicles,Appeal violations for Healthcare facilitie...
,,,,,,,,,,Apply for a Permit to Register an Extended Vehicle to Transport Passengers in Luxury Vehicles,Request for Temporary Permit
,,,,,,,,,,Apply for a Permit to Register a Free Zone Vehicle,Add/Upgrade Professional License
,,,,,,,,,,Collect Fines Incurred by Delayed Vehicles Replacement,Temporary Facility Closure
,,,,,,,,,,Apply for an NOC for School Transport Activities,Renew Professional License
,,,,,,,,,,Apply for an NOC to Register Administrative Vehicles,Activate Professional License
,,,,,,,,,,Apply for an NOC to Register Taxi Vehicles,Cancel Professional License
,,,,,,,,,,Pay Fines Related to Illegal Transport,Add Facility to Group
,,,,,,,,,,Pay Fines Issued Against Franchise and Luxury Transport Companies,Change Facility Name
,,,,,,,,,,Pay Fines Issued Against Marine Transport Companies,Activate Facility License
,,,,,,,,,,Pay Fines Related to Bus Transport Companies,New Facility License
,,,,,,,,,,Pay Fines Related to the Violation of the Operational and Regulatory Terms of Commercial Transport,Amend Facility License
,,,,,,,,,,Apply for a Permit to Advertise on Taxi Vehicles,Change Facility Ownership
,,,,,,,,,,Apply for Leasing Commercial Spaces in Tram Stations,Cancel Facility License
,,,,,,,,,,Apply for Leasing Commercial Spaces in Metro Stations,Renew Facility License
,,,,,,,,,,Apply for a Short Term Bus Rental,Submission of Medical Journals Manuscript
,,,,,,,,,,Apply for a Permit to Operate an Abra,Request to enroll in clinical training
,,,,,,,,,,Apply for an Abra Maintenance Permit,Request for Attestation of educational cer...
,,,,,,,,,,Apply for Renting Vessel Lifts to Lift/Drop Marine Vessels,Fellowship Program
,,,,,,,,,,Apply for Renting a Dry Berth for Private Boats,Medicine and Science Scholarship Program f...
,,,,,,,,,,Marine Jetty Short Rental,Apply to Dental Residency Programs
,,,,,,,,,,Apply for a Permit to Advertise on Vehicles,Dubai Residency Training Programs
,,,,,,,,,,Apply for Renewing the Permit to Advertise on Vehicles,Medical Internship Program
,,,,,,,,,,Apply for Cancelling the Permit to Advertise on Vehicles,Application to join Dental Internship Prog...
,,,,,,,,,,Apply for Temporary Outdoor Advertising Permits,Issue Sick Leave Certificate
,,,,,,,,,,Apply for Renewing Temporary Outdoor Advertising Permits,Request Good Standing Certificate
,,,,,,,,,,Apply for Cancelling Temporary Outdoor Advertising Permits,Get Registered (New Professional License)
,,,,,,,,,,Pay Fines Related to Advertising Billboards,Raise License Cancelation Issues
,,,,,,,,,,Apply for an Investment Opportunity with RTA,Update Professional License Card Informati...
,,,,,,,,,,Dubai Bus on Demand,Add/Upgrade professional registration
,,,,,,,,,,Apply for an Electrical Scooter Driving Permit,Update CPD Points
,,,,,,,,,,Hourly Vehicle Rental,Schedule Oral Assessment
,,,,,,,,,,Apply for an information NOC related to Utilities and Facilities within the Right of Way,Self assessment & Manual Review (Review El...
,,,,,,,,,,Apply for a Construction NOC for Infrastructure Work,Renew Professional Registration
,,,,,,,,,,Apply for an NOC for Trial Trenches,Payment of Fines
,,,,,,,,,,Apply for an NOC for other Infrastructure Works of Special Nature,Appeal Violations for professionals
,,,,,,,,,,Apply for an NOC for the Design of Infrastructure Works,Request to register on the volunteering pl...
,,,,,,,,,,Apply for an NOC for works within the Rail Right-of-Way,DXH group membership and treatment package...
,,,,,,,,,,Apply for Renewing an NOC for works within the Rail Right-of-Way,Medical Education Announcement
,,,,,,,,,,Apply for a Supplementary Signs Installation Permit,Organising and Managing Medical Training P...
,,,,,,,,,,Apply for Numbering Houses and Buildings,Accreditation of Continuing Medical Traini...
,,,,,,,,,,Apply for Studying Traffic Calming Measures,Bidding Services (Smart Mazad)
,,,,,,,,,,Apply for a Mobility Permit for Over-Weight and Over-Dimension Vehicles,Insurance System for Advancing Healthcare ...
,,,,,,,,,,Apply for Mobility Permit for Heavy Construction Vehicles,Organising and Managing Medical Training P...
,,,,,,,,,,Apply for a Mobility Permit for Heavy Vehicles in Banned Times and Roads,Medically Auditing applications of car win...
,,,,,,,,,,Apply for Providing a Temporary Road,Medically Auditing the request from HR Dep...
,,,,,,,,,,,Medically Auditing applications to “SANAD”...
,,,,,,,,,,,Medically Auditing special parking permit
